date,price,market_cap,total_volume,daily_return,log_return,volatility_7d,ma_7,ma_30,volume_change,google_trends_score,news_count,fear_greed_value,fear_greed_classification,price_change,volatility_14d,price_to_ma7,price_to_ma30,trends_change,trends_pct_change,trends_rolling_mean_7d,trends_rolling_std_7d,fear_greed_change,fear_greed_rolling_mean_7d,fear_greed_rolling_std_7d,return_lag_1,log_return_lag_1,volume_change_lag_1,volatility_7d_lag_1,trends_lag_1,trends_change_lag_1,fear_greed_lag_1,fear_greed_change_lag_1,news_count_lag_1,return_lag_3,log_return_lag_3,volume_change_lag_3,volatility_7d_lag_3,trends_lag_3,trends_change_lag_3,fear_greed_lag_3,fear_greed_change_lag_3,news_count_lag_3,return_lag_7,log_return_lag_7,volume_change_lag_7,volatility_7d_lag_7,trends_lag_7,trends_change_lag_7,fear_greed_lag_7,fear_greed_change_lag_7,news_count_lag_7,return_lag_14,log_return_lag_14,volume_change_lag_14,volatility_7d_lag_14,trends_lag_14,trends_change_lag_14,fear_greed_lag_14,fear_greed_change_lag_14,news_count_lag_14,news_count_change,news_count_rolling_mean_7d,target_up_next_day,target_high_volatility_next_7d
2021-03-14,61315.197932766816,1145191373521.5942,67332756651.27568,,,,,,,53.0,,78.0,Extreme Greed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2021-03-15,59428.96756602776,1111684638819.0725,48104078384.27405,-0.03076285212040486,-0.031245962380146035,,,,-0.2855768755553739,53.0,,76.0,Extreme Greed,-1886.2303667390588,,,,0.0,0.0,,,-2.0,,,,,,,53.0,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2021-03-16,55805.32924923426,1049197142851.5632,70594488699.70683,-0.06097427677449563,-0.06291240587272799,,,,0.46753645576099934,53.0,,71.0,Greed,-3623.6383167934982,,,,0.0,0.0,,,-5.0,,,-0.03076285212040486,-0.031245962380146035,-0.2855768755553739,,53.0,0.0,76.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2021-03-17,56830.253335076224,1060221966894.7418,63219904254.35453,0.0183660610846772,0.018199441983708185,,,,-0.10446402518363918,53.0,,71.0,Greed,1024.9240858419653,,,,0.0,0.0,,,0.0,,,-0.06097427677449563,-0.06291240587272799,0.46753645576099934,,53.0,0.0,71.0,-5.0,,,,,,53.0,,78.0,,,,,,,,,,,,,,,,,,,,,,,1,0
2021-03-18,59014.92563205099,1101028543248.462,63368268626.27834,0.038442065075686704,0.037721575657684546,,,,0.002346798428021879,53.0,,72.0,Greed,2184.6722969747643,,,,0.0,0.0,,,1.0,,,0.0183660610846772,0.018199441983708185,-0.10446402518363918,,53.0,0.0,71.0,0.0,,-0.03076285212040486,-0.031245962380146035,-0.2855768755553739,,53.0,0.0,76.0,-2.0,,,,,,,,,,,,,,,,,,,,,,0,0
2021-03-19,57922.40959262911,1081065767945.8684,58387006275.72827,-0.018512537764319936,-0.018686039432101023,,,,-0.07860814976542341,53.0,,71.0,Greed,-1092.5160394218765,,,,0.0,0.0,,,-1.0,,,0.038442065075686704,0.037721575657684546,0.002346798428021879,,53.0,0.0,72.0,1.0,,-0.06097427677449563,-0.06291240587272799,0.46753645576099934,,53.0,0.0,71.0,-5.0,,,,,,,,,,,,,,,,,,,,,,1,0
2021-03-20,58243.27060892363,1086741150606.8164,51948388930.75819,0.0055394970366591245,0.005524210450299236,,58365.76484524411,,-0.11027483263252436,53.0,,75.0,Greed,320.8610162945188,,-0.0020987343632911104,,0.0,0.0,53.0,0.0,4.0,73.42857142857143,2.8784916685156974,-0.018512537764319936,-0.018686039432101023,-0.07860814976542341,,53.0,0.0,71.0,-1.0,,0.0183660610846772,0.018199441983708185,-0.10446402518363918,,53.0,0.0,71.0,0.0,,,,,,,,,,,,,,,,,,,,,,1,1
2021-03-21,58376.15847137206,1090022321077.5006,54549112635.67172,0.0022816002786092415,0.00227900138103981,0.033067123687477384,57945.90206504486,,0.05006360656112041,45.0,,73.0,Greed,132.88786244842777,,0.007425139500705891,,-8.0,-0.15094339622641506,51.857142857142854,3.023715784073817,-2.0,72.71428571428571,2.0586634591635464,0.0055394970366591245,0.005524210450299236,-0.11027483263252436,,53.0,0.0,75.0,4.0,,0.038442065075686704,0.037721575657684546,0.002346798428021879,,53.0,0.0,72.0,1.0,,,,,,53.0,,78.0,,,,,,,,,,,,,,0,1
2021-03-22,57573.539344778685,1074356788297.177,55664123837.60256,-0.013749091197684415,-0.013844485349914278,0.031579804324764774,57680.84089058071,,0.020440501193445426,45.0,,70.0,Greed,-802.619126593374,,-0.001860263202569712,,0.0,0.0,50.714285714285715,3.903600291794132,-3.0,71.85714285714286,1.676163419695041,0.0022816002786092415,0.00227900138103981,0.05006360656112041,0.033067123687477384,45.0,-8.0,73.0,-2.0,,-0.018512537764319936,-0.018686039432101023,-0.07860814976542341,,53.0,0.0,71.0,-1.0,,-0.03076285212040486,-0.031245962380146035,-0.2855768755553739,,53.0,0.0,76.0,-2.0,,,,,,,,,,,,,0,1
2021-03-23,54370.13755789519,1020641820438.662,62001716794.84347,-0.055640174693793676,-0.05724801458858087,0.030003343184437568,57475.8135061037,,0.11385417608890291,45.0,,66.0,Greed,-3203.4017868834926,,-0.054034484398880256,,0.0,0.0,49.57142857142857,4.27617987059879,-4.0,71.14285714285714,2.7945525240230764,-0.013749091197684415,-0.013844485349914278,0.020440501193445426,0.031579804324764774,45.0,0.0,70.0,-3.0,,0.0055394970366591245,0.005524210450299236,-0.11027483263252436,,53.0,0.0,75.0,4.0,,-0.06097427677449563,-0.06291240587272799,0.46753645576099934,,53.0,0.0,71.0,-5.0,,,,,,,,,,,,,1,1
