date,price,market_cap,total_volume,daily_return,log_return,volatility_7d,ma_7,ma_30,volume_change
2013-04-28,135.3,1500517590.0,0.0,,,,,,
2013-04-29,141.96,1575032004.0,0.0,0.04922394678492226,0.04805079260155323,,,,
2013-04-30,135.3,1501657493.0,0.0,-0.04691462383770073,-0.04805079260155333,,,,
2013-05-01,117.0,1298951550.0,0.0,-0.1352549889135256,-0.14532060037898636,,,,
2013-05-02,103.43,1148667722.0,0.0,-0.11598290598290595,-0.12327887940804381,,,,
2013-05-03,91.01,1011066494.0,0.0,-0.12008121434786811,-0.12792566480044792,,,,
2013-05-04,111.25,1236351844.0,0.0,0.22239314361059215,0.2008105304570852,,119.32142857142857,,
2013-05-05,116.79,1298377788.0,0.0,0.04979775280898879,0.048597529244124485,0.12999283423644234,116.67714285714287,,
2013-05-06,118.33,1315992304.0,0.0,0.013186060450381065,0.013099881105993456,0.12777406149714896,113.30142857142857,,
2013-05-07,106.4,1183766500.0,0.0,-0.10081974140116612,-0.10627175448892334,0.13131362308696223,109.17285714285715,,
2013-05-08,112.64,1253655040.0,0.0,0.05864661654135328,0.05699131550218817,0.12488707892574709,108.55,,
2013-05-09,113.0,1258130700.0,0.0,0.003196022727272707,0.0031909263026082785,0.11392005356824725,109.91714285714286,,
2013-05-10,118.78,1322989457.0,0.0,0.051150442477876146,0.04988522387537361,0.09634573272874125,113.88428571428572,,
2013-05-11,113.01,1259239352.0,0.0,-0.048577201549082294,-0.049796732215654706,0.059362071795646315,114.13571428571429,,
2013-05-12,114.713,1278708679.0,0.0,0.015069462879391038,0.014957046486466966,0.056246257013733765,113.83899999999998,,
2013-05-13,117.18,1306721052.0,0.0,0.02150584502192432,0.02127785725811608,0.05668621026858329,113.6747142857143,,
2013-05-14,114.5,1277278988.0,0.0,-0.02287079706434547,-0.02313639112234825,0.038224311594136556,114.83185714285715,,
2013-05-15,114.156,1273849681.0,0.0,-0.003004366812227044,-0.0030088889819740337,0.03206573385840679,115.04842857142856,,
2013-05-16,115.5,1289277412.0,0.0,0.011773362766740236,0.011704595949527942,0.03226658247572093,115.40557142857142,,
2013-05-17,123.1,1374605382.0,0.0,0.06580086580086575,0.06372650322855955,0.03611250142315746,116.02271428571429,,
2013-05-18,123.88,1383755085.0,0.0,0.006336311941510964,0.006316321914594215,0.027238038008502222,117.57557142857142,,
2013-05-19,120.501,1346499262.0,0.0,-0.027276396512754153,-0.027655303453539986,0.031243365527669847,118.40242857142857,,
2013-05-20,122.58,1370131821.0,0.0,0.01725296885503025,0.01710582640612376,0.0309649652299203,119.17385714285714,,
2013-05-21,122.9,1374154118.0,0.0,0.00261054005547412,0.0026071385144035898,0.028267807738165247,120.37385714285713,,
2013-05-22,123.0,1375791900.0,0.0,0.0008136696501219731,0.000813338800428281,0.027999391768689916,121.63728571428571,,
2013-05-23,125.748,1407041528.0,0.0,0.022341463414634166,0.022095548908387445,0.02832822899885061,123.10128571428572,,
2013-05-24,131.7,1474180657.0,0.0,0.047332760759614345,0.04624670446843032,0.022878475788687177,124.32985714285714,,
2013-05-25,130.77,1464316690.0,0.0,-0.007061503416856296,-0.007086553830824242,0.0237708634919734,125.31414285714287,,
2013-05-26,134.6,1507769010.0,0.0,0.02928806301139386,0.028867362292216328,0.018893500167550013,127.32828571428571,,
2013-05-27,128.985,1445444606.0,0.0,-0.04171619613670119,-0.042611298679657746,0.02882229200565263,128.24328571428572,119.93376666666667,
2013-05-28,129.179,1448115967.0,0.0,0.0015040508586268153,0.001502920906995401,0.028857602460550323,129.14028571428574,119.72973333333333,
2013-05-29,132.13,1481781795.0,0.0,0.022844270353540308,0.022587246988160295,0.029206041244562244,130.44457142857144,119.40206666666667,
2013-05-30,127.401,1429308634.0,0.0,-0.03579050934685535,-0.036446694025304475,0.03330401101844978,130.6807142857143,119.13876666666667,
2013-05-31,127.98,1436386730.0,0.0,0.004544705300586482,0.004534409310493338,0.02700051131258559,130.14928571428572,119.50476666666667,
2013-06-01,129.09,1449499974.0,0.0,0.00867323019221744,0.008635833807303666,0.0273336906428135,129.90928571428572,120.3601,
