date,price,market_cap,total_volume,daily_return,log_return,volatility_7d,ma_7,ma_30,volume_change,google_trends_score
2013-04-28,135.3,1500517590.0,0.0,,,,,,,53.0
2013-04-29,141.96,1575032004.0,0.0,0.0492239467849222,0.0480507926015532,,,,,53.0
2013-04-30,135.3,1501657493.0,0.0,-0.0469146238377007,-0.0480507926015533,,,,,53.0
2013-05-01,117.0,1298951550.0,0.0,-0.1352549889135256,-0.1453206003789863,,,,,53.0
2013-05-02,103.43,1148667722.0,0.0,-0.1159829059829059,-0.1232788794080438,,,,,53.0
2013-05-03,91.01,1011066494.0,0.0,-0.1200812143478681,-0.1279256648004479,,,,,53.0
2013-05-04,111.25,1236351844.0,0.0,0.2223931436105921,0.2008105304570852,,119.32142857142856,,,53.0
2013-05-05,116.79,1298377788.0,0.0,0.0497977528089887,0.0485975292441244,0.1299928342364423,116.67714285714288,,,53.0
2013-05-06,118.33,1315992304.0,0.0,0.013186060450381,0.0130998811059934,0.1277740614971489,113.30142857142856,,,53.0
2013-05-07,106.4,1183766500.0,0.0,-0.1008197414011661,-0.1062717544889233,0.1313136230869622,109.17285714285715,,,53.0
2013-05-08,112.64,1253655040.0,0.0,0.0586466165413532,0.0569913155021881,0.124887078925747,108.55,,,53.0
2013-05-09,113.0,1258130700.0,0.0,0.0031960227272727,0.0031909263026082,0.1139200535682472,109.91714285714286,,,53.0
2013-05-10,118.78,1322989457.0,0.0,0.0511504424778761,0.0498852238753736,0.0963457327287412,113.88428571428572,,,53.0
2013-05-11,113.01,1259239352.0,0.0,-0.0485772015490822,-0.0497967322156547,0.0593620717956463,114.13571428571429,,,53.0
2013-05-12,114.713,1278708679.0,0.0,0.015069462879391,0.0149570464864669,0.0562462570137337,113.83899999999998,,,53.0
2013-05-13,117.18,1306721052.0,0.0,0.0215058450219243,0.021277857258116,0.0566862102685832,113.6747142857143,,,53.0
2013-05-14,114.5,1277278988.0,0.0,-0.0228707970643454,-0.0231363911223482,0.0382243115941365,114.83185714285716,,,53.0
2013-05-15,114.156,1273849681.0,0.0,-0.003004366812227,-0.003008888981974,0.0320657338584067,115.04842857142856,,,53.0
