date,price,market_cap,total_volume,daily_return,log_return,volatility_7d,ma_7,ma_30,volume_change,google_trends_score,trends_change,price_change,target_up_next_day
2013-04-28,135.3,1500517590.0,0.0,,,,,,,53.0,,,1
2013-04-29,141.96,1575032004.0,0.0,0.04922394678492226,0.0480507926015532,,,,,53.0,0.0,6.659999999999997,0
2013-04-30,135.3,1501657493.0,0.0,-0.04691462383770073,-0.0480507926015533,,,,,53.0,0.0,-6.659999999999997,0
2013-05-01,117.0,1298951550.0,0.0,-0.1352549889135256,-0.1453206003789863,,,,,53.0,0.0,-18.30000000000001,0
2013-05-02,103.43,1148667722.0,0.0,-0.11598290598290595,-0.1232788794080438,,,,,53.0,0.0,-13.569999999999993,0
2013-05-03,91.01,1011066494.0,0.0,-0.12008121434786811,-0.1279256648004479,,,,,53.0,0.0,-12.420000000000002,1
2013-05-04,111.25,1236351844.0,0.0,0.22239314361059215,0.2008105304570852,,119.32142857142856,,,53.0,0.0,20.239999999999995,1
2013-05-05,116.79,1298377788.0,0.0,0.04979775280898879,0.0485975292441244,0.12999283423644234,116.67714285714288,,,53.0,0.0,5.540000000000006,1
2013-05-06,118.33,1315992304.0,0.0,0.013186060450381065,0.0130998811059934,0.12777406149714896,113.30142857142856,,,53.0,0.0,1.539999999999992,0
2013-05-07,106.4,1183766500.0,0.0,-0.10081974140116612,-0.1062717544889233,0.13131362308696223,109.17285714285715,,,53.0,0.0,-11.929999999999993,1
2013-05-08,112.64,1253655040.0,0.0,0.05864661654135328,0.0569913155021881,0.12488707892574709,108.55,,,53.0,0.0,6.239999999999995,1
2013-05-09,113.0,1258130700.0,0.0,0.003196022727272707,0.0031909263026082,0.11392005356824725,109.91714285714286,,,53.0,0.0,0.35999999999999943,1
2013-05-10,118.78,1322989457.0,0.0,0.051150442477876146,0.0498852238753736,0.09634573272874125,113.88428571428572,,,53.0,0.0,5.780000000000001,0
2013-05-11,113.01,1259239352.0,0.0,-0.048577201549082294,-0.0497967322156547,0.059362071795646315,114.13571428571429,,,53.0,0.0,-5.769999999999996,1
2013-05-12,114.713,1278708679.0,0.0,0.015069462879391038,0.0149570464864669,0.056246257013733765,113.83899999999998,,,53.0,0.0,1.7029999999999887,1
2013-05-13,117.18,1306721052.0,0.0,0.02150584502192432,0.021277857258116,0.05668621026858329,113.6747142857143,,,53.0,0.0,2.467000000000013,0
2013-05-14,114.5,1277278988.0,0.0,-0.02287079706434547,-0.0231363911223482,0.038224311594136556,114.83185714285716,,,53.0,0.0,-2.680000000000007,0
2013-05-15,114.156,1273849681.0,0.0,-0.003004366812227044,-0.003008888981974,0.03206573385840679,115.04842857142856,,,53.0,0.0,-0.3439999999999941,1
2013-05-16,115.5,1289277412.0,0.0,0.011773362766740236,0.0117045959495279,0.03226658247572093,115.40557142857142,,,53.0,0.0,1.343999999999994,1
2013-05-17,123.1,1374605382.0,0.0,0.06580086580086575,0.0637265032285595,0.03611250142315746,116.02271428571429,,,53.0,0.0,7.599999999999994,1
2013-05-18,123.88,1383755085.0,0.0,0.006336311941510964,0.0063163219145942,0.027238038008502222,117.57557142857142,,,53.0,0.0,0.7800000000000011,0
2013-05-19,120.501,1346499262.0,0.0,-0.027276396512754153,-0.0276553034535399,0.031243365527669847,118.40242857142856,,,53.0,0.0,-3.3789999999999907,1
2013-05-20,122.58,1370131821.0,0.0,0.01725296885503025,0.0171058264061237,0.0309649652299203,119.17385714285714,,,53.0,0.0,2.0789999999999935,1
2013-05-21,122.9,1374154118.0,0.0,0.00261054005547412,0.0026071385144035,0.028267807738165247,120.37385714285712,,,53.0,0.0,0.3200000000000074,1
2013-05-22,123.0,1375791900.0,0.0,0.0008136696501219731,0.0008133388004282,0.027999391768689916,121.63728571428572,,,53.0,0.0,0.09999999999999432,1
2013-05-23,125.748,1407041528.0,0.0,0.022341463414634166,0.0220955489083874,0.02832822899885061,123.10128571428572,,,53.0,0.0,2.7480000000000047,1
2013-05-24,131.7,1474180657.0,0.0,0.047332760759614345,0.0462467044684303,0.022878475788687177,124.32985714285714,,,53.0,0.0,5.951999999999984,0
2013-05-25,130.77,1464316690.0,0.0,-0.007061503416856296,-0.0070865538308242,0.0237708634919734,125.31414285714288,,,53.0,0.0,-0.9299999999999784,1
2013-05-26,134.6,1507769010.0,0.0,0.02928806301139386,0.0288673622922163,0.018893500167550013,127.32828571428573,,,53.0,0.0,3.829999999999984,0
2013-05-27,128.985,1445444606.0,0.0,-0.04171619613670119,-0.0426112986796577,0.02882229200565263,128.24328571428572,119.93376666666668,,53.0,0.0,-5.614999999999981,1
2013-05-28,129.179,1448115967.0,0.0,0.0015040508586268153,0.0015029209069954,0.028857602460550323,129.14028571428574,119.72973333333331,,53.0,0.0,0.1939999999999884,1
2013-05-29,132.13,1481781795.0,0.0,0.022844270353540308,0.0225872469881602,0.029206041244562244,130.44457142857144,119.40206666666668,,53.0,0.0,2.9509999999999934,0
2013-05-30,127.401,1429308634.0,0.0,-0.03579050934685535,-0.0364466940253044,0.03330401101844978,130.6807142857143,119.13876666666668,,53.0,0.0,-4.728999999999999,1
2013-05-31,127.98,1436386730.0,0.0,0.004544705300586482,0.0045344093104933,0.02700051131258559,130.14928571428572,119.50476666666668,,53.0,0.0,0.5790000000000077,1
2013-06-01,129.09,1449499974.0,0.0,0.00867323019221744,0.0086358338073036,0.0273336906428135,129.90928571428572,120.3601,,53.0,0.0,1.1099999999999994,0
2013-06-02,121.3,1362684200.0,0.0,-0.06034549539081269,-0.0622430195686135,0.03121439191577348,128.0092857142857,121.36976666666668,,53.0,0.0,-7.790000000000006,0
2013-06-03,121.16,1361765704.0,0.0,-0.0011541632316570682,-0.0011548297909679,0.02896638838788416,126.89142857142856,121.7001,,53.0,0.0,-0.14000000000000057,1
2013-06-05,121.309,1364113640.0,0.0,0.0012297788048860614,0.0012290232463147,0.028950731730900344,125.76714285714286,121.85073333333334,,53.0,0.0,0.1490000000000009,1
2013-06-06,121.714,1369233814.0,0.0,0.0033385816386253264,0.0033330209480555,0.026234291832731575,124.27914285714284,121.96353333333334,,53.0,0.0,0.40500000000000114,0
2013-06-07,119.0,1339234925.0,0.0,-0.02229817440886006,-0.0225505372418774,0.024583713952701175,123.079,122.38353333333336,,53.0,0.0,-2.7139999999999986,0
2013-06-08,110.09,1239395972.0,0.0,-0.07487394957983196,-0.0778252800292176,0.03369641700582511,120.52328571428572,122.29853333333334,,53.0,0.0,-8.909999999999997,0
2013-06-09,108.401,1220874393.0,0.0,-0.015341992914887914,-0.015460899027066,0.03133843396322441,117.56771428571427,122.14523333333337,,53.0,0.0,-1.6890000000000072,0
2013-06-10,99.7497,1123844958.0,0.0,-0.07980830435143582,-0.0831732658085925,0.03564642191521103,114.4891,121.51089,,53.0,0.0,-8.651299999999992,1
2013-06-11,105.99,1194605341.0,0.0,0.0625595866453732,0.0606807017925101,0.04898184305816403,112.32195714285714,121.27689,,53.0,0.0,6.240299999999991,1
2013-06-12,108.9,1227904672.0,0.0,0.02745542032267201,0.0270852798997513,0.051619514730840005,110.54924285714286,121.08312333333332,,53.0,0.0,2.910000000000011,0
2013-06-13,108.4,1222819750.0,0.0,-0.0045913682277318735,-0.0046019409333689,0.0512577851277609,108.64724285714286,120.79045666666669,,53.0,0.0,-0.5,0
2013-06-14,102.769,1159766150.0,0.0,-0.051946494464944704,-0.0533443378819947,0.05312608294466063,106.32852857142858,120.39942333333336,,53.0,0.0,-5.631,0
2013-06-15,98.399,1110902570.0,0.0,-0.042522550574589646,-0.043453109718609,0.048732205150422356,104.65838571428571,119.87419,,53.0,0.0,-4.3700000000000045,1
2013-06-16,99.99,1129287060.0,0.0,0.016168863504710362,0.0160395395828158,0.05011862448006145,103.45681428571427,119.35719,,53.0,0.0,1.590999999999994,1
2013-06-17,100.42,1134610433.0,0.0,0.0043004300430042885,0.0042912096188014,0.03969985409022314,103.55257142857144,118.60119,,53.0,0.0,0.4300000000000068,1
2013-06-18,102.0,1152834600.0,0.0,0.015733917546305598,0.0156114226777117,0.03063202977566318,102.98257142857142,117.87185666666666,,53.0,0.0,1.5799999999999983,1
2013-06-19,106.55,1204638318.0,0.0,0.044607843137254966,0.0436415452603551,0.03415028286372898,102.64685714285714,117.40682333333334,,53.0,0.0,4.549999999999997,1
2013-06-20,107.9,1220273470.0,0.0,0.012670107930549124,0.0125905137194629,0.03460332231100204,102.57542857142856,116.91749,,53.0,0.0,1.3500000000000085,1
2013-06-21,110.91,1254733148.0,0.0,0.027896200185356657,0.0275141893525611,0.02700599090689829,103.73842857142856,116.51782333333334,,53.0,0.0,3.009999999999991,0
2013-06-22,109.015,1233750009.0,0.0,-0.017085925525200607,-0.0172335741766387,0.019123220262881564,105.255,116.05165666666667,,53.0,0.0,-1.894999999999996,0
2013-06-23,107.25,1214260369.0,0.0,-0.016190432509287755,-0.0163229296318851,0.02239613798188545,106.29214285714284,115.43505666666668,,53.0,0.0,-1.7650000000000006,1
2013-06-24,108.0,1223181000.0,0.0,0.006993006993007089,0.0069686693160934,0.02229931526370269,107.375,114.64505666666668,,53.0,0.0,0.75,0
2013-06-25,102.443,1160635652.0,0.0,-0.051453703703703724,-0.0528246807863284,0.03207057979488821,107.43828571428573,113.70082333333336,,53.0,0.0,-5.557000000000002,1
2013-06-26,103.691,1175194910.0,0.0,0.012182384350321707,0.0121087763173371,0.02660946645049639,107.02985714285714,112.67052333333332,,53.0,0.0,1.2480000000000047,0
2013-06-27,103.39,1172207388.0,0.0,-0.0029028555998109606,-0.0029070770566266,0.02565946277152138,106.38557142857142,111.81735666666668,,53.0,0.0,-0.30100000000000193,0
2013-06-28,99.66,1130338737.0,0.0,-0.036076990037721246,-0.0367438527453432,0.022904746823194443,104.77842857142858,110.83339,,53.0,0.0,-3.730000000000004,0
2013-06-29,93.3311,1058953327.0,0.0,-0.06350491671683711,-0.0656110072098398,0.02942361976674036,102.53787142857144,109.54009333333332,,53.0,0.0,-6.32889999999999,1
2013-06-30,95.3886,1082693996.0,0.0,0.022045170366576494,0.0218056888151582,0.0338097359222769,100.84338571428572,108.47301333333333,,53.0,0.0,2.0574999999999903,1
2013-07-01,97.504,1107084792.0,0.0,0.022176654233315274,0.0219343283447218,0.035957260935049286,99.34395714285714,107.45714666666667,,53.0,0.0,2.115400000000008,0
2013-07-02,89.489,1016445146.0,0.0,-0.08220175582540201,-0.0857776901038636,0.04257400545098997,97.49338571428572,106.13711333333336,,53.0,0.0,-8.015,1
2013-07-03,90.797,1031653673.0,0.0,0.014616321559074219,0.0145105327144143,0.04287358276961155,95.65138571428572,105.12034666666663,,53.0,0.0,1.3079999999999927,0
2013-07-04,78.8,895707780.0,0.0,-0.13212991618665815,-0.1417132485500159,0.05978644651818996,92.13852857142857,103.70834666666666,,53.0,0.0,-11.997,0
2013-07-05,78.48,892405890.0,0.0,-0.004060913705583702,-0.0040691816067257,0.06103047607801228,89.1128142857143,102.28071333333334,,53.0,0.0,-0.3199999999999932,0
2013-07-06,67.809,771368060.0,0.0,-0.13597094801223253,-0.1461488857575466,0.07238208637057515,85.46679999999999,100.48388,,53.0,0.0,-10.671000000000006,1
2013-07-07,68.0831,774804401.0,0.0,0.004042236281319722,0.0040340883939861,0.06999875630375652,81.56601428571427,98.78665,,53.0,0.0,0.27410000000000423,1
2013-07-08,77.502,882356395.0,0.0,0.13834417057977677,0.1295747245843863,0.09706067652100621,78.70858571428572,97.70038333333332,,53.0,0.0,9.418899999999994,0
